survey3,HHID3,IndID3,mainActivity,mainmode,numAccomp,parkType,wf3,TrvlTime,TrvlDist,StayTime
bsh,1000060,1,1,0,1,9,18.857559,,,528.75
bsh,1000060,1,5,1,1,9,18.857559,8.83333,0.285412,26.4
bsh,1000060,1,5,1,1,9,18.857559,10,0.192655,62.0167
bsh,1000060,1,1,1,1,9,18.857559,9.03333,0.363027,184.967
bsh,1000060,1,3,10,1,9,18.857559,7,1.39522,63
bsh,1000060,1,5,10,1,9,18.857559,8.98333,0.290583,101.017
bsh,1000060,1,1,10,1,9,18.857559,10,1.23994,0.983333
bsh,1000060,1,7,1,1,9,18.857559,4.01667,0.171555,103.817
bsh,1000060,1,1,1,1,9,18.857559,4.58333,0.171555,306.567
bsh,1000060,2,1,0,1,9,18.857559,,,1439.97
bsh,1000150,1,1,0,1,9,41.270985,,,180
bsh,1000150,1,6,10,1,9,41.270985,11.25,1.62019,43.9167
bsh,1000150,1,1,10,1,9,41.270985,6.03333,1.62019,19.2667
bsh,1000150,1,8,10,1,9,41.270985,2.26667,0.563549,61.1167
bsh,1000150,1,1,10,1,9,41.270985,1.96667,0.563549,36.9833
bsh,1000150,1,5,10,1,9,41.270985,4.75,0.632593,37.95
bsh,1000150,1,1,10,1,9,41.270985,2.96667,0.632593,385.083
bsh,1000150,1,8,10,1,9,41.270985,19.7167,8.65019,47.4333
bsh,1000150,1,1,10,1,9,41.270985,17.7833,8.65019,561.483
bsh,1000150,2,1,0,1,9,41.270985,,,792.983
bsh,1000150,2,8,11,1,9,41.270985,20.2833,8.65019,46.7167
bsh,1000150,2,1,11,1,9,41.270985,18.5,8.65019,561.483
bsh,1000150,3,1,0,1,9,41.270985,,,1439.97
bsh,1000160,1,1,0,1,9,41.270985,,,213.983
bsh,1000160,1,6,1,1,9,41.270985,7.3,0.0512202,11.7167
bsh,1000160,1,2,1,1,9,41.270985,5,0.2263,88
bsh,1000160,1,1,1,1,9,41.270985,9,0.17651,1103.98
bsh,1000160,2,1,0,1,9,41.270985,,,211.833
bsh,1000160,2,2,3,1,9,41.270985,33.8667,3.55298,534.283
bsh,1000160,2,1,3,1,9,41.270985,26.45,3.55298,632.55
bsh,1000160,3,1,0,1,9,41.270985,,,560
bsh,1000160,3,8,1,1,9,41.270985,10,0.392479,109.983
bsh,1000160,3,1,1,1,9,41.270985,10,0.389945,28.0167
bsh,1000160,3,2,1,1,9,41.270985,37.7667,1.31808,384.217
bsh,1000160,3,1,1,1,9,41.270985,28.0167,1.31808,270.983
bsh,1000160,4,1,0,1,9,41.270985,,,1438.98
bsh,1000160,5,1,0,1,9,41.270985,,,1438.98
bsh,1000160,6,1,0,1,9,41.270985,,,296
bsh,1000160,6,4,1,1,9,41.270985,35.6333,1.63323,525.75
bsh,1000160,6,1,1,1,9,41.270985,33.6167,1.63323,548.967
bsh,1000160,7,1,0,1,9,41.270985,,,239.983
bsh,1000160,7,4,9,2,9,41.270985,20.0167,2.47949,400
bsh,1000160,7,1,9,2,9,41.270985,19.9833,2.47949,759.983
bsh,1000160,8,1,0,1,9,41.270985,,,239.983
