survey2,hhid2,indID,relat,gender,age,degree,wf2
bsh,1000060,1,4,2,33,5,18.857559
bsh,1000060,2,3,2,65,5,18.857559
bsh,1000150,1,3,1,80,2,41.270985
bsh,1000150,2,3,2,76,4,41.270985
bsh,1000150,3,9,2,35,1,41.270985
bsh,1000160,1,3,1,52,2,41.270985
bsh,1000160,2,3,2,49,4,41.270985
bsh,1000160,3,4,2,22,2,41.270985
bsh,1000160,4,4,2,21,2,41.270985
bsh,1000160,5,4,1,17,,41.270985
bsh,1000160,6,4,2,15,,41.270985
bsh,1000160,7,4,2,13,,41.270985
bsh,1000160,8,4,2,11,,41.270985
bsh,1000160,9,4,2,7,,41.270985
bsh,1000180,1,3,1,83,5,28.185598
bsh,1000180,2,4,1,58,1,28.185598
bsh,1000230,1,2,1,67,2,28.185598
bsh,1000230,2,2,2,65,2,28.185598
bsh,1000270,1,3,2,28,4,41.270985
bsh,1000270,2,3,1,43,4,41.270985
bsh,1000270,3,4,1,8,,41.270985
bsh,1000270,4,4,1,7,,41.270985
bsh,1000270,5,4,1,6,,41.270985
bsh,1000270,6,4,1,5,,41.270985
bsh,1000270,7,4,1,5,,41.270985
bsh,1000270,8,4,1,1,,41.270985
bsh,1000320,1,3,2,49,4,52.447647
bsh,1000320,2,3,1,48,2,52.447647
bsh,1000320,3,4,1,5,,52.447647
bsh,1000330,1,2,1,27,3,28.185598
bsh,1000330,2,2,2,25,3,28.185598
bsh,1000350,1,1,2,75,6,34.990002
bsh,1000360,1,1,2,77,4,34.990002
bsh,1000370,1,1,2,81,4,34.990002
bsh,1000380,1,1,2,79,3,34.990002
bsh,1000390,1,1,2,57,4,34.990002
bsh,1000400,1,1,2,59,3,34.990002
bsh,1000420,1,1,2,81,3,34.990002
bsh,1000440,1,1,1,78,6,34.990002
bsh,1000533,1,2,1,38,1,30.942287
bsh,1000533,2,2,2,34,1,30.942287
bsh,1000650,1,7,1,25,3,9.068449
bsh,1000650,2,7,1,25,3,9.068449
bsh,1000670,1,2,1,25,3,9.068449
bsh,1000670,2,2,2,25,3,9.068449
bsh,1000680,1,3,1,64,1,52.447647
bsh,1000680,2,3,2,60,1,52.447647
bsh,1000680,3,4,1,25,3,52.447647
bsh,1000720,1,7,1,20,3,52.447647
bsh,1000720,2,7,1,21,3,52.447647
bsh,1000720,3,7,1,22,3,52.447647
bsh,1000820,1,4,1,39,1,53.883751
bsh,1000820,2,3,2,58,1,53.883751
bsh,1000820,3,3,1,60,1,53.883751
bsh,1000820,4,6,1,10,,53.883751
bsh,1000830,1,3,2,37,5,53.883751
bsh,1000830,2,4,1,11,,53.883751
bsh,1000830,3,4,1,9,,53.883751
bsh,1000830,4,4,2,8,,53.883751
bsh,1000870,1,3,1,49,1,53.883751
bsh,1000870,2,3,2,44,4,53.883751
bsh,1000870,3,4,2,17,,53.883751
bsh,1000870,4,4,2,18,4,53.883751
bsh,1000870,5,4,1,21,4,53.883751
bsh,1000940,1,2,2,26,5,9.068449
bsh,1000940,2,2,1,26,3,9.068449
bsh,1000950,1,7,1,31,5,9.068449
bsh,1000950,2,7,1,30,5,9.068449
bsh,1000970,1,2,1,28,3,9.068449
bsh,1000970,2,2,2,29,5,9.068449
bsh,1001030,1,2,2,30,6,9.068449
bsh,1001030,2,2,1,30,5,9.068449
bsh,1001040,1,1,1,22,3,24.4
bsh,1001140,1,2,2,68,1,23.457285
bsh,1001140,2,2,1,70,2,23.457285
bsh,1001150,1,3,1,57,2,25.348415
bsh,1001150,2,3,2,55,3,25.348415
bsh,1001150,3,4,2,26,5,25.348415
bsh,1001150,4,4,2,19,3,25.348415
bsh,1001150,5,4,1,15,,25.348415
bsh,1001160,1,3,2,34,3,25.348415
bsh,1001160,2,3,1,38,2,25.348415
bsh,1001160,3,4,1,10,,25.348415
bsh,1001160,4,4,1,6,,25.348415
bsh,1001160,5,4,1,3,,25.348415
bsh,1001180,1,3,1,53,6,25.348415
bsh,1001180,2,3,2,50,6,25.348415
bsh,1001180,3,4,1,26,3,25.348415
bsh,1001180,4,5,1,90,3,25.348415
bsh,1001180,5,5,2,80,3,25.348415
bsh,1001200,1,3,1,38,4,25.348415
bsh,1001200,2,3,2,35,3,25.348415
bsh,1001200,3,4,2,11,,25.348415
bsh,1001200,4,4,1,9,,25.348415
bsh,1001200,5,4,1,2,,25.348415
bsh,1001210,1,3,2,49,5,25.348415
bsh,1001210,2,4,2,19,3,25.348415
bsh,1001210,3,4,2,16,,25.348415
bsh,1001240,1,3,2,43,3,25.348415
bsh,1001240,2,3,1,47,3,25.348415
bsh,1001240,3,4,1,18,3,25.348415
bsh,1001270,1,3,2,50,5,25.348415
bsh,1001270,2,3,1,50,3,25.348415
bsh,1001270,3,4,2,15,,25.348415
bsh,1001300,1,7,2,23,3,19.562874
